event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_best,,,
MZM4230,2-Oct-24,2024,2,Strategic developments,Strategic developments,Other,Islamist Militia (Mozambique),,3,37,,508,Eastern Africa,Mozambique,Cabo Delgado,Nangade,M'Tamba,Nkonga,-11.2418,39.8882,1,Cabo Ligado,Local partner-Other,"Non-violent activity: Around 2 October 2024 (as reported), a small group of Islamist militia was seen around the villages of Chitama, Quinto Congresso, and Nkonga (Nangade, Cabo Delgado), asking for food. No violent interactions reported.",0,,1728358503,,,,
MZM4230,2-Oct-24,2024,2,Strategic developments,Strategic developments,Other,Civilians (Mozambique),,7,37,,508,Eastern Africa,Mozambique,Cabo Delgado,Nangade,M'Tamba,Nkonga,-11.2418,39.8882,1,Cabo Ligado,Local partner-Other,"Non-violent activity: Around 2 October 2024 (as reported), a small group of Islamist militia was seen around the villages of Chitama, Quinto Congresso, and Nkonga (Nangade, Cabo Delgado), asking for food. No violent interactions reported.",0,,1728358503,,,,
MZM4231,2-Oct-24,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mozambique),,6,60,,508,Eastern Africa,Mozambique,Maputo,Cidade Da Matola,Cidade Da Matola,Matola,-25.9622,32.4589,1,Miramar,National,"On 2 October 2024, residents of the neighborhood Trevo gathered in front of a ferrochrome company in Matola (Cidade Da Matola, Maputo), to demonstrate over claims of indirect consumption of ferrochrome released from the company's cargo terminal.",0,crowd size=no report,1728358503,27123,,,
MZM4228,28-Sep-24,2024,1,Strategic developments,Strategic developments,Headquarters or base established,Police Forces of Mozambique (1990-),,1,10,,508,Eastern Africa,Mozambique,Cabo Delgado,Metuge,Metuge,Metuge,-12.9723,40.3865,2,AIM; Cabo Ligado; Integrity Magazine; Radio Mozambique; Zitamar,Local partner-Other,"On 28 September 2024, the Mozambican president inaugurated barracks of the UIR in the district of Metuge (location coded to Metuge, Metuge, Cabo Delgado), calling UIR officers to fight Islamist militia insurgency in the Northern province of Cabo Delgado. The headquarters consists of three barracks, eight residences for officers, four for generals, and other facilities, including a shooting range. The provincial headquarters occupy an area of around 160 hectares, the largest barracks built since Mozambican independence in 1975.",0,,1728358503,,,,
MZM4229,28-Sep-24,2024,1,Political violence,Violence against civilians,Abduction/forced disappearance,Islamist Militia (Mozambique),,3,37,Civilian targeting,508,Eastern Africa,Mozambique,Cabo Delgado,Mocimboa da Praia,Diaca,Chinda,-11.5813,40.0375,2,Cabo Ligado; Televisao de Mozambique; Zumbo FM,Local partner-Other,"On 28 September 2024, Islamist militia kidnapped five women working in crop fields outside Chinda (Mocimboa da Praia, Cabo Delgado). The Islamist militia ransomed them for food and the women gave them potatoes, cassava, and tomatoes. The militia released the women after they gave them food. The district administrator of Mocimboa da Praia claimed the militia asked the women if they would be given amnesty if they surrendered.",0,,1728358503,1459,,,
MZM4229,28-Sep-24,2024,1,Political violence,Violence against civilians,Abduction/forced disappearance,Civilians (Mozambique),Farmers (Mozambique); Women (Mozambique),7,37,Civilian targeting,508,Eastern Africa,Mozambique,Cabo Delgado,Mocimboa da Praia,Diaca,Chinda,-11.5813,40.0375,2,Cabo Ligado; Televisao de Mozambique; Zumbo FM,Local partner-Other,"On 28 September 2024, Islamist militia kidnapped five women working in crop fields outside Chinda (Mocimboa da Praia, Cabo Delgado). The Islamist militia ransomed them for food and the women gave them potatoes, cassava, and tomatoes. The militia released the women after they gave them food. The district administrator of Mocimboa da Praia claimed the militia asked the women if they would be given amnesty if they surrendered.",0,,1728358503,1459,,,
MZM4222,26-Sep-24,2024,2,Demonstrations,Riots,Violent demonstration,Rioters (Mozambique),,5,50,,508,Eastern Africa,Mozambique,Maputo,Moamba,Moamba,Moamba,-25.5961,32.2433,2,Miramar,National,"Around 26 September 2024 (as reported), residents barricaded access to the neighborhood office with burning logs in Chiboene in the district of Moamba (location coded to Moamba, Moamba, Maputo) to demonstrate over claims of delay in the electrification of the neighborhood.",0,crowd size=no report,1727740328,13295,,,
MZM4221,26-Sep-24,2024,1,Political violence,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,37,Civilian targeting,508,Eastern Africa,Mozambique,Cabo Delgado,Palma,Palma,Palma,-10.7722,40.4756,2,AIM; Cabo Ligado; Carta de Mocambique; Centro de Integridade Publica (CIP); Integrity Magazine; Telegram; Televisao de Mozambique,Local partner-Other,"On 26 September 2024, a group of ten Islamist militia abducted a man heading to crop fields in Naliandele about 7km from Palma (Palma, Cabo Delgado), and killed him. The man was searching for food with his wife, who was released. Some residents tried to leave their houses but were sent back by Rwandan military forces. The Islamist militia was heading towards the Nhica do Rovuma region, looking for food and supplies in the surrounding communities. The Islamic State claimed the killing of a 'Christian' in Mangona.",1,,1728335022,19479,,,
MZM4221,26-Sep-24,2024,1,Political violence,Violence against civilians,Attack,Civilians (Mozambique),,7,37,Civilian targeting,508,Eastern Africa,Mozambique,Cabo Delgado,Palma,Palma,Palma,-10.7722,40.4756,2,AIM; Cabo Ligado; Carta de Mocambique; Centro de Integridade Publica (CIP); Integrity Magazine; Telegram; Televisao de Mozambique,Local partner-Other,"On 26 September 2024, a group of ten Islamist militia abducted a man heading to crop fields in Naliandele about 7km from Palma (Palma, Cabo Delgado), and killed him. The man was searching for food with his wife, who was released. Some residents tried to leave their houses but were sent back by Rwandan military forces. The Islamist militia was heading towards the Nhica do Rovuma region, looking for food and supplies in the surrounding communities. The Islamic State claimed the killing of a 'Christian' in Mangona.",1,,1728335022,19479,,,
MZM4227,26-Sep-24,2024,1,Political violence,Battles,Armed clash,Islamist Militia (Mozambique),,3,13,,508,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Mucojo,Mucojo,-12.0653,40.4794,1,Cabo Ligado; Carta de Mocambique; Telegram,Local partner-Other,"On 26 September 2024, for a third consecutive day, Islamist militia clashed with Mozambican and Rwandan military forces in Mucojo (Macomia, Cabo Delgado). The Islamic State claimed the clashes, killing and injuring an unknown number of soldiers. Unspecified fatalities coded as 3. Some soldiers fled the area and some Islamist militia were forced into the forests of the district of Quissanga.",3,,1728358503,2424,,,
MZM4227,26-Sep-24,2024,1,Political violence,Battles,Armed clash,Military Forces of Mozambique (1990-),Military Forces of Rwanda (1994-),1,13,,508,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Mucojo,Mucojo,-12.0653,40.4794,1,Cabo Ligado; Carta de Mocambique; Telegram,Local partner-Other,"On 26 September 2024, for a third consecutive day, Islamist militia clashed with Mozambican and Rwandan military forces in Mucojo (Macomia, Cabo Delgado). The Islamic State claimed the clashes, killing and injuring an unknown number of soldiers. Unspecified fatalities coded as 3. Some soldiers fled the area and some Islamist militia were forced into the forests of the district of Quissanga.",3,,1728358503,2424,,,
MZM4220,25-Sep-24,2024,2,Strategic developments,Strategic developments,Agreement,Islamist Militia (Mozambique),,3,37,,508,Eastern Africa,Mozambique,Cabo Delgado,Pemba,Pemba,Pemba,-12.9733,40.5176,3,Lusa,International,"Around 25 September 2024 (as reported), at least 182 Islamist militia handed themselves to Mozambican authorities and were reintegrated into their communities, and an unknown number of people who were abducted by the militia also returned to their families (location coded to Pemba, Pemba, Cabo Delgado), according to the president of Mozambique during the ceremony commemorating the 60th anniversary of the Outbreak of Mozambican military forces.",0,,1727740328,,,,
MZM4220,25-Sep-24,2024,2,Strategic developments,Strategic developments,Agreement,Civilians (Mozambique),,7,37,,508,Eastern Africa,Mozambique,Cabo Delgado,Pemba,Pemba,Pemba,-12.9733,40.5176,3,Lusa,International,"Around 25 September 2024 (as reported), at least 182 Islamist militia handed themselves to Mozambican authorities and were reintegrated into their communities, and an unknown number of people who were abducted by the militia also returned to their families (location coded to Pemba, Pemba, Cabo Delgado), according to the president of Mozambique during the ceremony commemorating the 60th anniversary of the Outbreak of Mozambican military forces.",0,,1727740328,,,,
MZM4219,25-Sep-24,2024,1,Political violence,Battles,Armed clash,Islamist Militia (Mozambique),,3,13,,508,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Mucojo,Mucojo,-12.0653,40.4794,2,Cabo Ligado; Carta de Mocambique; Lusa; Noticias; Televisao de Mozambique; Zitamar; Zumbo FM,Local partner-Other,"On 25 September 2024, for a second consecutive day, Islamist militia clashed with Mozambican and Rwandan military forces outside Mucojo (Macomia, Cabo Delgado), according to the president of Mozambique during the ceremony commemorating the 60th anniversary of the Outbreak of Mozambican military forces. At least ten Islamist militia and four soldiers were killed (disputing reports, ranging between four and 12 soldiers killed, and eight injured), and the Mozambican military forces captured four Islamist militia according to the Chief of Staff of the Northern Operational Command. Military vehicles headed toward Mucojo. The Islamic State claimed injuring an unknown number of Mozambican and Rwandan soldiers.",14,,1728335022,2424,,,
MZM4219,25-Sep-24,2024,1,Political violence,Battles,Armed clash,Military Forces of Mozambique (1990-),Military Forces of Rwanda (1994-),1,13,,508,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Mucojo,Mucojo,-12.0653,40.4794,2,Cabo Ligado; Carta de Mocambique; Lusa; Noticias; Televisao de Mozambique; Zitamar; Zumbo FM,Local partner-Other,"On 25 September 2024, for a second consecutive day, Islamist militia clashed with Mozambican and Rwandan military forces outside Mucojo (Macomia, Cabo Delgado), according to the president of Mozambique during the ceremony commemorating the 60th anniversary of the Outbreak of Mozambican military forces. At least ten Islamist militia and four soldiers were killed (disputing reports, ranging between four and 12 soldiers killed, and eight injured), and the Mozambican military forces captured four Islamist militia according to the Chief of Staff of the Northern Operational Command. Military vehicles headed toward Mucojo. The Islamic State claimed injuring an unknown number of Mozambican and Rwandan soldiers.",14,,1728335022,2424,,,
MZM4225,25-Sep-24,2024,2,Strategic developments,Strategic developments,Other,Islamist Militia (Mozambique),,3,30,,508,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Mucojo,Coast of Macomia,-12.2147,40.5365,2,Cabo Ligado; Televisao de Mozambique,Local partner-Other,"Other: Around 25 September 2024 (as reported), Islamist militia laid explosive devices (IEDs) on main roads to the Coast of Macomia (Macomia, Cabo Delgado). No explosions reported.",0,,1728358503,,,,
MZM4226,25-Sep-24,2024,1,Political violence,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,37,Civilian targeting,508,Eastern Africa,Mozambique,Cabo Delgado,Quissanga,Bilibiza,Tororo,-12.5951,40.1499,1,Centro de Integridade Publica (CIP),National,"On 25 September 2024, Islamist militia invaded and fired shots in Tororo (Quissanga, Cabo Delgado). Casualties unknown. Shots were heard in the woods and the Islamist militia asked residents for food in the area for three consecutive days.",0,,1728358503,1044,,,
MZM4226,25-Sep-24,2024,1,Political violence,Violence against civilians,Attack,Civilians (Mozambique),,7,37,Civilian targeting,508,Eastern Africa,Mozambique,Cabo Delgado,Quissanga,Bilibiza,Tororo,-12.5951,40.1499,1,Centro de Integridade Publica (CIP),National,"On 25 September 2024, Islamist militia invaded and fired shots in Tororo (Quissanga, Cabo Delgado). Casualties unknown. Shots were heard in the woods and the Islamist militia asked residents for food in the area for three consecutive days.",0,,1728358503,1044,,,
MZM4218,24-Sep-24,2024,2,Demonstrations,Protests,Peaceful protest,Protesters (Mozambique),Labor Group (Mozambique),6,60,,508,Eastern Africa,Mozambique,Inhambane,Inhambane,Inhambane,Inhambane,-23.865,35.3833,1,O Pais,Regional,"Around 24 September 2024 (as reported), a group of private maritime transport operators gathered in demonstration in front of the building where the National Maritime Transport Institute operates in Inhambane (Inhambane, Inhambane) over claims of protectionism, promoted by the National Maritime Transport Institute in favor of a private operator. Operators also claimed they have been complaining about the protectionism promoted in favor of a vessel since 2019 but without any response.",0,crowd size=no report,1727740328,2128,,,
MZM4217,24-Sep-24,2024,1,Political violence,Battles,Armed clash,Islamist Militia (Mozambique),,3,13,,508,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Mucojo,Mucojo,-12.0653,40.4794,2,Cabo Ligado; Lusa; Noticias; Zumbo FM,Local partner-Other,"On 24 September 2024, Islamist militia clashed with Mozambican and Rwandan military forces outside Mucojo (Macomia, Cabo Delgado), according to the president of Mozambique during the ceremony commemorating the 60th anniversary of the Outbreak of Mozambican military forces. Casualties unknown. Clashes continued for three consecutive days (coded separately).",0,,1728335022,2424,,,
MZM4217,24-Sep-24,2024,1,Political violence,Battles,Armed clash,Military Forces of Mozambique (1990-),Military Forces of Rwanda (1994-),1,13,,508,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Mucojo,Mucojo,-12.0653,40.4794,2,Cabo Ligado; Lusa; Noticias; Zumbo FM,Local partner-Other,"On 24 September 2024, Islamist militia clashed with Mozambican and Rwandan military forces outside Mucojo (Macomia, Cabo Delgado), according to the president of Mozambique during the ceremony commemorating the 60th anniversary of the Outbreak of Mozambican military forces. Casualties unknown. Clashes continued for three consecutive days (coded separately).",0,,1728335022,2424,,,
MZM4213,23-Sep-24,2024,2,Strategic developments,Strategic developments,Change to group/activity,Islamist Militia (Mozambique),,3,30,,508,Eastern Africa,Mozambique,Cabo Delgado,Mocimboa da Praia,Mocimboa da Praia,Mocimboa Da Praia,-11.346,40.3522,1,Lusa; Televisao de Mozambique,National-International,"Movement of forces: Around 23 September 2024 (as reported), Islamist militants were seen in Mocimboa Da Praia (Mocimboa da Praia, Cabo Delgado). The city's mayor announced a traffic restriction from midnight to maintain vigilance. The movement was likely due to recent offensives from Rwandan and Mozambican military against Islamist militia in the forests of Mucojo about 100km from Mocimboa da Praia.",0,,1727740328,,,,
MZM4214,23-Sep-24,2024,1,Political violence,Riots,Mob violence,Rioters (Mozambique),,5,50,,508,Eastern Africa,Mozambique,Inhambane,Mabote,Mabote,Mabote,-22.0402,34.1444,1,AIM; Carta de Mocambique; Centro de Integridade Publica (CIP),National,"On 23 September 2024, a mob set fire to a PODEMOS pickup truck carrying sound equipment in Mabote (Inhambane, Inhambane), to be used in a march and rally led by PODEMOS. The truck was parked very close to where the PODEMOS supporters were staying. The incident happened in the context of the upcoming October 2024 general elections.",0,crowd size=no report,1727740328,4185,,,
MZM4215,23-Sep-24,2024,1,Demonstrations,Protests,Protest with intervention,Protesters (Mozambique),,6,16,,508,Eastern Africa,Mozambique,Maputo,Boane,Boane,Boane,-26.0423,32.3302,1,O Pais,Regional,"On 23 September 2024, residents from Mahubo neighborhood in Boane blocked a road (means unspecified) for about four hours in Boane (Boane, Maputo) to protest against a water shortage and lack of electricity. Police officers intervened firing shots and using dogs, and removed the roadblocks. The officers detained a young man who was leading the march for some hours and later released him. The officers tore his shirt and he had bruises on his arm.",0,crowd size=no report,1727740328,3703,,,
MZM4215,23-Sep-24,2024,1,Demonstrations,Protests,Protest with intervention,Police Forces of Mozambique (1990-),,1,16,,508,Eastern Africa,Mozambique,Maputo,Boane,Boane,Boane,-26.0423,32.3302,1,O Pais,Regional,"On 23 September 2024, residents from Mahubo neighborhood in Boane blocked a road (means unspecified) for about four hours in Boane (Boane, Maputo) to protest against a water shortage and lack of electricity. Police officers intervened firing shots and using dogs, and removed the roadblocks. The officers detained a young man who was leading the march for some hours and later released him. The officers tore his shirt and he had bruises on his arm.",0,crowd size=no report,1727740328,3703,,,
MZM4216,23-Sep-24,2024,1,Demonstrations,Riots,Violent demonstration,Rioters (Mozambique),,5,50,,508,Eastern Africa,Mozambique,Maputo City,Maputo,Maputo,Maputo,-25.9655,32.5832,1,Miramar,National,"On 23 September 2024, residents from Gimo O'Cossa neighborhood in Bobole and blocks 10, 11, and 12 in Maluana barricaded the gate to the Electricity of Mozambique (EDM) headquarters with burning logs and blocked by (unspecified means) several areas of the road EN1 in Maputo (Maputo City, Maputo) while demonstrating against alleged delays in electrification. Police forces were present at EDM headquarters (no interaction was reported).",0,crowd size=no report,1727740328,89854,,,
MZM4210,20-Sep-24,2024,2,Strategic developments,Strategic developments,Non-violent transfer of territory,Military Forces of Mozambique (1990-),Military Forces of Rwanda (1994-),1,13,,508,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Mucojo,Pangane,-11.9986,40.538,1,Zitamar,National,"Around 20 September 2024 (as reported), Mozambican and Rwandan military forces reoccupied Pangane (Macomia, Cabo Delgado), according to the governor of the province of Cabo Delgado. No clashes reported. The joint offensive began in August by land and air, with Rwandan and Mozambican forces moving from the coast westwards.",0,,1727134597,,,,
MZM4210,20-Sep-24,2024,2,Strategic developments,Strategic developments,Non-violent transfer of territory,Islamist Militia (Mozambique),,3,13,,508,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Mucojo,Pangane,-11.9986,40.538,1,Zitamar,National,"Around 20 September 2024 (as reported), Mozambican and Rwandan military forces reoccupied Pangane (Macomia, Cabo Delgado), according to the governor of the province of Cabo Delgado. No clashes reported. The joint offensive began in August by land and air, with Rwandan and Mozambican forces moving from the coast westwards.",0,,1727134597,,,,
MZM4211,20-Sep-24,2024,2,Political violence,Riots,Mob violence,Rioters (Mozambique),Vigilante Group (Mozambique),5,57,Civilian targeting,508,Eastern Africa,Mozambique,Inhambane,Vilankulo,Vilankulo,Pambarra,-21.9954,35.1447,1,O Pais,Regional,"Around 20 September 2024 (as reported), residents set fire to the bar of a man in Pambarra (Vilankulo, Inhambane) accused of leading a group of human organ traffickers and abducting and killing a man who was drinking at his bar and was later found without his genitals and one of his legs in the region, after disappearing for one month. Residents also barricaded National Highway Number 1 in the village on 19 September (coded separately).",0,crowd size=no report,1727134597,4093,,,
